商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"新款无线电动蒜泥机家用婴儿宝宝辅食机绞肉机搅拌料理机绞蒜器",29.9,30.0%,8.97,已售：6.6万,结束：2023-12-31,3,,掌握优选,4.97,4.62,4.87,2023-04-18 20:23:43.225
" 适用DJI大疆MINI 3 Pro RC 遥控器遮光罩无人机配件",125.0,25.0%,31.25,已售：7,结束：2023-06-30,1,,晨阳智创科技,4.82,4.52,4.41,2023-04-18 20:23:43.327
"OPPOReno7防偷窥双面手机壳防摔卡扣磁吸7Pro/SE镜头全包保护套潮",47.8,10.0%,4.78,已售：226,结束：2024-02-01,,,创伟易电子的小店,4.24,4.97,4.43,2023-04-18 20:23:43.426
"【外贸品质】萌兔小风扇新款可爱情侣夏天大风力小型学生宿舍桌面",9.9,11.0%,1.09,已售：48,结束：2025-04-30,,,烈焰供应链,4.62,4.94,4.89,2023-04-18 20:23:43.556
"自由物语 复古开源掌机PLUS 摇杆款PSP模拟经典GBA口袋妖怪游戏机",509.0,6.0%,30.54,已售：84,结束：2023-04-30,,,自由物语,4.64,4.4,4.55,2023-04-18 20:23:43.666
"兔年新年款14Promax保护套全包13Pro春节保护壳12/11防摔壳国潮",25.8,30.0%,7.74,已售：457,结束：2025-01-31,,,鲸柯星球个体店,4.73,4.08,3.76,2023-04-18 20:23:43.767
"360°旋转手机支架通用款可伸缩调节升降多功能追剧直播神器",1.0,50.0%,0.5,已售：742,结束：2023-06-01,,,小爆数码,4.94,4.72,4.53,2023-04-18 20:23:43.874
"【一元福利】可伸缩调节手机直播追剧支架网红拍摄旋转底座加重",1.0,10.0%,0.1,已售：3.6万,结束：2023-04-30,191,549,义乌严选商城,4.86,4.96,4.52,2023-04-18 20:23:43.997
"笔记本电脑支架360旋转铝合金散热增高悬空托架便携折叠支撑架",150.0,40.0%,60.0,已售：1,结束：2023-08-31,,,酷时商行,4.61,4.11,4.77,2023-04-18 20:23:44.136
"苹果/华为/荣耀/OPPO/VIVO女款个性定制往后余生钢化玻璃手机壳",14.9,31.0%,4.62,已售：61,结束：2024-02-02,,,捷诚3C数码,4.77,4.92,4.49,2023-04-18 20:23:44.244
"适用vivoiqoo10双引擎闪充数据线120W瓦PD双C口手机6A快充充电线",13.52,30.0%,4.06,已售：69,结束：2024-02-04,,,洛菲塔数码个体店,4.91,4.38,4.84,2023-04-18 20:23:44.348
"车载户外冰箱9L母乳美妆小冰箱车家两用宿舍办公室单门式冷暖箱 ",299.0,20.0%,59.8,已售：1,结束：2024-05-01,,,源顺个体店,4.89,4.94,4.93,2023-04-18 20:23:44.463
"银韧87键无线蓝牙机械键盘三模热插拔青茶红黑轴电竞游戏客制化",299.0,20.0%,59.8,已售：4,结束：2026-11-30,1,,银韧YINREN旗舰店,4.93,4.97,4.97,2023-04-18 20:23:44.578
"EZON/宜准智能手表心率睡眠监测多功能手表L818轻薄智能手环",149.0,20.0%,29.8,已售：2,结束：2023-07-31,1,,EZON宜准手表旗舰店,4.86,4.64,4.62,2023-04-18 20:23:44.716
"HP/惠普官方暗影精灵RGB游戏电竞数码有线机械鼠标笔记本电脑办公",99.9,10.0%,9.99,已售：9,结束：2023-06-30,,,惠普数码配件旗舰店,4.71,4.91,4.93,2023-04-18 20:23:44.857
"莱仕达V10力反馈赛车游戏方向盘900度汽车模拟器PS4电脑PC欧卡2",299.0,10.0%,29.9,已售：22,结束：2023-06-30,,,莱仕达电玩旗舰店,4.7,4.87,4.59,2023-04-18 20:23:44.975
"漫威复仇者系列Warrior头戴式蓝牙耳机mr02无线游戏电竞专业电脑",148.0,20.0%,29.6,已售：6,结束：2023-09-01,,,启诺数码专营店,4.79,4.42,4.59,2023-04-18 20:23:45.106
"Disney/迪士尼可爱迷你无线蓝牙音乐耳机带手绳耳机卡通女生通用",59.9,20.0%,11.98,已售：6,结束：2023-04-30,,,博霸数码专营店,4.97,4.88,4.64,2023-04-18 20:23:45.244
"泼墨可爱玩偶硅全包胶防摔苹果14promax/13/12pro/11手机壳  ",19.9,20.0%,3.98,已售：88,结束：2023-12-31,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:45.363
"28粒电池工厂外贸标准原装出口高功率5号7号精品家家必备干电池",9.99,3.0%,0.3,已售：911,结束：2025-04-30,184,,鑫呈商贸行,4.94,4.59,4.97,2023-04-18 20:23:45.505
"【苹果】ins网红款冷淡风高级感做旧门把手防摔软壳手机壳",19.9,20.0%,3.98,已售：1395,结束：2024-02-29,7,15,壳比家,4.85,4.92,4.7,2023-04-18 20:23:45.607
"磁吸镜头支架苹果14手机壳iPhone13磨砂12半透明11promax全包防摔",29.8,20.0%,5.96,已售：148,结束：2023-07-31,1,6,亨登数码专营店,4.51,4.93,4.08,2023-04-18 20:23:45.704
"哆啦A梦睡宝宝纪念版相框usb小夜灯",99.0,15.0%,14.85,已售：1247,结束：2023-12-31,1,4,ROCK官方旗舰店,4.98,4.89,4.79,2023-04-18 20:23:45.794
"三模游戏电竞无线蓝牙机械键盘青轴黑轴茶轴红轴银轴87键客制化热",299.0,20.0%,59.8,已售：33,结束：2025-03-01,,,银韧YINREN旗舰店,4.93,4.97,4.97,2023-04-18 20:23:45.882
"ins小众酷酷的眼镜猫咪手机壳苹果14/13/12/11",20.9,20.0%,4.18,已售：144,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:45.981
"谊和通讯线缆标签打印机热敏可充光纤布线不干胶打印机条码二维码",97.0,30.0%,29.1,已售：10,结束：2024-01-31,,,YiHERO谊和旗舰店,4.27,4.48,4.57,2023-04-18 20:23:46.068
"【9.9包邮】家用厨房剪鸡骨剪食物剪家用剪多功能剪刀熊猫剪刀",9.9,25.0%,2.48,已售：29.5万,结束：2023-07-31,4,15,掌握优选,4.97,4.62,4.87,2023-04-18 20:23:46.157
"直边手机壳苹果/华为/小米/OPPO/VIVO海绵宝宝全包硅胶软壳防摔女",5.99,15.0%,0.9,已售：69,结束：2024-04-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:23:46.268
"满分小学霸智能词典笔  离线扫描技术  中英双语学习笔 精准识别",288.0,20.0%,57.6,已售：0,结束：2024-04-22,,,满分小学霸鼎泰专卖店,4.99,4.96,4.93,2023-04-18 20:23:46.407
"白鹿同款周边稀有手机壳苹果14/vivos7/华为p40/oppoR17/小米11",11.9,20.0%,2.38,已售：112,结束：2023-06-30,4,17,爱豆手机壳严选店,4.99,4.97,4.5,2023-04-18 20:23:46.513
"【苹果华为】ins小众浅卡其色复古美式咖啡支架手机壳14/13/12/11",17.9,20.0%,3.58,已售：388,结束：2024-02-29,1,14,壳比家,4.85,4.92,4.7,2023-04-18 20:23:46.616
"【2023爆卖投影仪】升级高亮款2023新款手机投影仪家用微型投墙",299.0,19.0%,56.81,已售：130,结束：2024-03-01,,,深圳市宝安区视海电子商行的小店个体店,3.75,4.47,4.75,2023-04-18 20:23:46.735
"GravaStar重力星球venus G2迷你蓝牙无线低音炮机甲音响生日礼物",379.0,15.0%,56.85,已售：9,结束：2024-03-08,,,置联数码科技,4.58,4.62,4.66,2023-04-18 20:23:46.851
"ins清新爱心宝石防摔硅胶苹果14promax/13/12pro/11手机壳 ",18.9,20.0%,3.78,已售：74,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:47.006
"【苹果】ins风高级感克莱因蓝硅胶纯色软壳手机壳13/12/11pro MAX",17.8,20.0%,3.56,已售：184,结束：2024-02-29,8,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:47.113
"【迪士尼正版授权】5.3无线蓝牙耳机降噪高音质手机通用",69.9,27.0%,18.87,已售：141,结束：2024-03-28,1,,好物之品,4.81,4.91,4.97,2023-04-18 20:23:47.244
"罗技G840XLKDA联名鼠标垫桌垫超大款LOL女团系列英雄联盟限定阿狸",10.9,20.0%,2.18,已售：60,结束：2023-05-01,,,乐真好物,4.95,4.69,4.99,2023-04-18 20:23:47.358
"魔方插座转换器无线转换插头面板多孔家用插位多功能USB快充插排",9.8,20.0%,1.96,已售：59,结束：2024-10-01,10,29,福好逍fuhaoxiao旗舰店,4.97,4.99,4.93,2023-04-18 20:23:47.464
"【苹果华为】ins简约风米色褶皱防摔手机壳苹果华为14/13/12/11/x",9.9,20.0%,1.98,已售：1936,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:47.581
"鲁乐头戴式发光无线蓝牙耳机低延迟长续航手机电脑通用适合学生党",139.0,20.0%,27.8,已售：4,结束：2023-06-30,1,2,LULE旗舰店,4.52,4.55,4.51,2023-04-18 20:23:47.709
"Disney/迪士尼LK-02蓝牙耳机新款女生迷你高颜值卡通运动降噪",49.9,28.0%,13.97,已售：533,结束：2023-04-30,3,,普洛严选,4.93,4.76,4.66,2023-04-18 20:23:47.811
"神之套游戏指套防水防汗吃鸡手套手游专用战熊银布指套电竞手指套",3.59,10.0%,0.36,已售：550,结束：2023-07-02,,,广汇数码,4.97,4.79,4.53,2023-04-18 20:23:47.910
"JIANGSIWEI/匠斯维手机喇叭防尘网苹果安卓typec听筒扬声器耳机贴",9.9,50.0%,4.95,已售：58,结束：2024-03-28,,,匠斯维JIANGSIWEI达鹏盛专卖店,4.87,4.7,4.3,2023-04-18 20:23:48.002
"M163迷你入耳式单耳无线蓝牙耳机商务车载运动促销礼品手机耳机",9.9,25.0%,2.48,已售：20,结束：2023-08-31,,,深圳市龙岗区腾慧达数码店,4.78,4.89,4.57,2023-04-18 20:23:48.093
" 高级小众设计五角星防摔苹果14promax/13/12pro/11手机壳  ",22.9,20.0%,4.58,已售：12,结束：2023-12-31,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:48.200
"【宠粉专属】Disney/迪士尼LF-20一拖三数据线卡通便携创意多功能",9.9,2.0%,0.2,已售：361,结束：2023-06-30,115,,灵润优选,4.86,4.82,4.56,2023-04-18 20:23:48.297
"【苹果】潮牌暴力熊情侣款3D立体防摔手机壳 iPhone14/13/12/11",22.9,20.0%,4.58,已售：1503,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:48.397
"真机械键盘鼠标套装青黑红茶轴游戏电竞专用网咖吃鸡CF发光有线",179.0,10.0%,17.9,已售：57,结束：2026-11-30,1,3,银韧YINREN旗舰店,4.93,4.97,4.97,2023-04-18 20:23:48.495
"【苹果/华为/小米/OPPO/VIVO】风保持微笑钢化玻璃手机壳全包保护",9.9,15.0%,1.48,已售：34,结束：2024-04-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:23:48.606
"优禄安卓加长头v8数据线充电线12毫米接口Micro USB数据线通用",9.9,20.0%,1.98,已售：108,结束：2023-06-30,,,优禄旗舰店,4.73,4.65,4.68,2023-04-18 20:23:48.713
"自带线充电宝1万毫安大容量超薄小巧便携移动电源耐用手机通用",29.9,15.0%,4.48,已售：10,结束：2024-02-29,,,盟选,4.93,4.99,4.89,2023-04-18 20:23:48.827
"【苹果/华为/小米/OPPO/VIVO】海贼王路飞索隆小羊皮手机壳卡通软",6.9,25.0%,1.72,已售：41,结束：2024-02-01,4,23,仪宝严选,4.86,4.97,4.05,2023-04-18 20:23:48.936
"DP/久量久量呼吸灯锌合金布纹编织数据线",6.9,10.0%,0.69,已售：4745,结束：2023-11-30,,,久量数码配件旗舰店,4.96,4.78,4.41,2023-04-18 20:23:49.042
"笔记本铝合金旋转支架散热便携升降折叠桌面办公好物机械设计通用",89.0,30.0%,26.7,已售：49,结束：2023-05-31,,,木艺数码企业店,4.66,4.97,4.55,2023-04-18 20:23:49.170
"防偷窥vivoS12磁吸手机壳全包防摔保护套男女s12pro新款外壳超薄",38.06,10.0%,3.81,已售：240,结束：2024-02-01,,,创伟易电子的小店,4.24,4.97,4.43,2023-04-18 20:23:49.288
"优禄tws蓝牙耳机悦虎洛达1562A真无线ANC主动降噪适用于苹果安卓",268.0,20.0%,53.6,已售：10,结束：2023-06-30,,,优禄旗舰店,4.73,4.65,4.68,2023-04-18 20:23:49.390
"粉丝专享福利 海雀AI全景摄像头 2.5K版 内置存储 家用摄像头",299.0,18.0%,53.82,已售：18,结束：2023-12-09,,,海雀旗舰店,4.52,4.85,4.82,2023-04-18 20:23:49.503
"【直播专享】6013B双模锂电台灯",29.9,18.0%,5.38,已售：84,结束：2023-10-01,2,6,久量官方旗舰店,4.99,4.98,4.81,2023-04-18 20:23:49.625
"迷你宇航员无叶挂脖手持风扇风向随意调节小巧便携306°全域风",49.9,27.0%,13.47,已售：1.4万,结束：2023-12-31,3,,LEAPCOVER数码旗舰店,4.94,4.96,4.85,2023-04-18 20:23:49.728
"华全电源透明机甲数显充电宝10000毫安自带三线22.5W双向快充便携",88.0,15.0%,13.2,已售：13,结束：2023-04-30,,,华全电源,4.48,4.25,4.42,2023-04-18 20:23:49.855
"HNY手电筒户外运动便携蓝牙音响振膜低音炮震撼音效音乐通用无线",69.99,25.0%,17.5,已售：5,结束：2023-12-31,3,,胜德蓝牙音箱工厂店,4.44,4.22,4.46,2023-04-18 20:23:49.949
"透明手机壳苹果/华为/小米/OPPO/VIVO诸事皆顺全包硅胶软壳防摔女",5.99,15.0%,0.9,已售：70,结束：2024-04-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:23:50.052
"黑色木框磁性黑板化妆品墙置物架展示架贴家用儿童画板挂式写字板",29.0,20.0%,5.8,已售：67,结束：2023-05-31,,,博轩办公用品旗舰店,3.63,4.8,4.98,2023-04-18 20:23:50.176
"韩风春日花朵防摔硅胶软壳苹果14promax/13/12pro/11手机壳  ",18.9,20.0%,3.78,已售：11,结束：2024-03-31,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:50.271
"肯豆风绿豆菲林壳高级感苹果14promax/iPhone13/12pro/11手机壳",23.9,20.0%,4.78,已售：184,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:50.376
"萌猫无叶风扇可USB充电手持迷你小风扇便捷多功能风扇工厂直销",19.99,10.0%,2.0,已售：213,结束：2023-09-30,7,,良品工厂店,4.8,4.97,4.69,2023-04-18 20:23:50.463
"黑皇鼠标防滑贴罗技G102G304专用侧边吸汗贴hero LOL pubg 蜥蜴皮",18.8,20.0%,3.76,已售：442,结束：2023-05-01,,,乐真好物,4.95,4.69,4.99,2023-04-18 20:23:50.561
"deioo多功能网红圆盘升降伸缩旋转加重手机支架直播支架自拍神器",9.9,35.0%,3.46,已售：45.1万,结束：2023-12-31,3,12,掌握优选,4.97,4.62,4.87,2023-04-18 20:23:50.670
"【工厂清仓】迷你夏天手机支架底座电风扇USB便捷式风扇一扇两用",15.8,18.0%,2.84,已售：500,结束：2024-02-29,7,7,KESIJAR旗舰店,4.98,4.92,4.9,2023-04-18 20:23:50.772
"M11手持标签打印机便携式蓝牙迷你热敏标签机姓名贴食物日期价格 ",69.0,25.0%,17.25,已售：92,结束：2024-01-31,,,YiHERO谊和旗舰店,4.27,4.48,4.57,2023-04-18 20:23:50.879
"【苹果/华为/小米/OPPO/VIVO】金属熊钢化玻璃手机壳镜头保护套女",9.9,15.0%,1.48,已售：36,结束：2024-04-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:23:50.982
"【宠粉福利】小猪补光风扇手握随身迷你小风扇USB充电便携学生",8.8,10.0%,0.88,已售：105,结束：2023-12-31,8,52,繁星轻奢小店,4.57,4.47,4.42,2023-04-18 20:23:51.109
"蓝牙无线挂脖耳机双耳重低音手机通用超长续航送数据线运动耳机",29.9,28.0%,8.37,已售：12,结束：2024-02-29,,,佰洛思数码,4.68,4.61,4.5,2023-04-18 20:23:51.218
" ins高级斑马纹手环防摔手机壳苹果14/13/12/11/x/max/xs  ",20.9,20.0%,4.18,已售：156,结束：2024-02-29,1,8,壳比家,4.85,4.92,4.7,2023-04-18 20:23:51.331
"BLUEO蓝猩苹果iphone13promax无线15w磁吸黑白强磁手机保护充电器",109.0,15.0%,16.35,已售：54,结束：2023-12-31,,,BLUEO旗舰店,4.45,4.87,4.76,2023-04-18 20:23:51.450
"苹果/华为/小米/OPPO/VIVO新款卡通马里奥手机壳透明简约太空壳软",5.99,25.0%,1.5,已售：73,结束：2024-02-01,6,34,仪宝严选,4.86,4.97,4.05,2023-04-18 20:23:51.570
"Pisen/品胜适用苹果14 ProMax磁吸手机壳气囊防摔iP14镜头全包pro",55.0,10.0%,5.5,已售：66,结束：2023-11-30,1,5,品胜官方旗舰店,4.44,3.74,4.21,2023-04-18 20:23:51.695
"机械键盘鼠标套装耳机三件套游戏电竞吃鸡有线笔记本台式电脑网吧",99.0,10.0%,9.9,已售：276,结束：2026-11-30,1,3,银韧YINREN旗舰店,4.93,4.97,4.97,2023-04-18 20:23:51.811
"本腾（主播宠粉）本腾随身wifi无线网卡便携路由设备【官方正品】",69.0,70.0%,48.3,已售：15,结束：2023-12-31,,,本腾蓝湾网络专卖店,4.78,4.98,4.97,2023-04-18 20:23:51.937
"【苹果】冷淡暗黑风高级甜酷珍珠链条手机壳 iphone14/13/12/11",26.9,20.0%,5.38,已售：1940,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:52.065
"【苹果/华为/小米/OPPO/VIVO】奶茶趴趴熊小羊皮手机壳软情侣卡通",6.9,25.0%,1.72,已售：26,结束：2024-02-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:23:52.174
"公牛1号电池燃气灶煤气灶液化气灶干电池碱性碳性1.5V 大号一号",5.0,15.0%,0.75,已售：543,结束：2023-12-31,17,62,测码哈哈,4.99,4.82,4.98,2023-04-18 20:23:52.259
"联想旗下来酷C5蓝牙耳机挂脖式无线运动跑步入耳游戏吃鸡超长待机",29.9,27.0%,8.07,已售：188,结束：2024-01-31,5,,普洛严选,4.93,4.76,4.66,2023-04-18 20:23:52.352
"挂脖风扇超静音随身大风力无叶小风扇懒人便捷式超长续航挂脖风扇",9.9,25.0%,2.48,已售：19,结束：2023-05-31,,,南城云盛商行,4.59,4.7,4.34,2023-04-18 20:23:52.447
"夹耳式蓝牙运动耳机HIFI音质夹耳式弹窗耳机无线蓝牙降噪黑科技",79.9,30.0%,23.97,已售：2,结束：2023-04-30,,,KBT,4.76,4.53,4.82,2023-04-18 20:23:52.538
"Disney/迪士尼无线蓝牙耳机星际宝贝史迪奇联名D29降噪可爱女生",79.9,20.0%,15.98,已售：4,结束：2023-09-01,,,启诺数码专营店,4.79,4.42,4.59,2023-04-18 20:23:52.633
"WIWU/唯吾针管笔尖适用apple pencil一代二代电容笔笔尖触控笔尖",59.9,10.0%,5.99,已售：53,结束：2023-06-01,,,WIWU数码旗舰店,4.66,4.86,4.77,2023-04-18 20:23:52.734
"Disney/迪士尼2023年新款无线蓝牙耳机手绳半入耳式运动降噪耳机",59.9,20.0%,11.98,已售：5,结束：2023-04-30,,,博霸数码专营店,4.97,4.88,4.64,2023-04-18 20:23:52.837
"真显迷你自带线快充充电宝20000毫安 小巧方便携带挂绳移动电源",59.0,27.0%,15.93,已售：23,结束：2024-03-19,1,,酷奇实业,4.97,4.97,4.54,2023-04-18 20:23:52.948
"【苹果】ins小众高级暗黑风镜面郁金香手机壳iPhone14/13/12/11/x",19.8,20.0%,3.96,已售：450,结束：2024-02-29,3,9,壳比家,4.85,4.92,4.7,2023-04-18 20:23:53.075
"适用苹果14手机壳13pro磨砂硬壳12promax镜头全包防尘11防摔超薄",29.8,20.0%,5.96,已售：45,结束：2023-05-31,2,7,迪普顿数码旗舰店,4.69,4.59,3.64,2023-04-18 20:23:53.187
"黑皇鼠标防滑贴罗技G502配套侧边吸汗贴防汗有线hero贴纸磨砂防汗",14.8,20.0%,2.96,已售：610,结束：2023-05-01,1,13,乐真好物,4.95,4.69,4.99,2023-04-18 20:23:53.297
"8000款经典怀旧70809000小霸王街机MD任天堂GBA其乐无穷",14.93,80.0%,11.94,已售：28,结束：2023-12-01,1,3,手游大本营,4.73,4.76,4.5,2023-04-18 20:23:53.415
"【2.99包邮】桌面多功能升降支架懒人便携ipad可折叠直播手机支架",2.99,17.0%,0.51,已售：3625,结束：2023-12-01,5,77,四季风供应链个体店,4.98,4.91,4.43,2023-04-18 20:23:53.531
"新款iPhone14手机壳ins灰比赞熊苹果13椭圆12promax软套11女xs/xr",6.99,20.0%,1.4,已售：68,结束：2023-08-31,,,闪闪手机壳,4.89,4.54,4.27,2023-04-18 20:23:53.656
"硅胶磁吸苹果14Promax手机壳13全包12防摔男女防摔软壳液态保护套",25.8,20.0%,5.16,已售：24,结束：2023-07-31,2,7,亨登数码专营店,4.51,4.93,4.08,2023-04-18 20:23:53.773
"桌面风扇静音卧室充电风扇多功能超静音风扇6寸超长续航夹扇台扇",29.9,19.0%,5.68,已售：11,结束：2024-10-31,,,小艾优选百货,4.73,4.79,4.9,2023-04-18 20:23:53.888
"圆点达金属手机支架折叠旋转桌面升降可携带式iPad平板支撑架",9.9,20.0%,1.98,已售：20,结束：2024-03-01,,,圆点达数码,4.95,4.96,4.56,2023-04-18 20:23:54.013
"【苹果华为】ins小众高级感原创风充棉花朵支架手机壳苹果13/12/",20.9,20.0%,4.18,已售：266,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:23:54.149
﻿"HNY双振膜超重低音炮放音收音通用续航超强便携式无线蓝牙音响",89.99,25.0%,22.5,已售：7,结束：2023-12-31,2,2,胜德蓝牙音箱工厂店,4.44,4.22,4.46,2023-04-18 20:24:09.547
"Sandisk/闪迪专业行车记录仪卡C10高清4K储存卡原装正品监控通用",47.9,8.0%,3.83,已售：207,结束：2024-01-25,1,11,闪迪官方旗舰店,4.98,4.95,4.77,2023-04-18 20:24:09.647
"【一元福利】手机触屏笔电容笔iPad笔平板触控笔绘画点触笔",1.0,51.0%,0.51,已售：2621,结束：2023-11-30,,,优晟美数码旗舰店,4.63,4.46,4.55,2023-04-18 20:24:09.749
"Pisen/品胜灭蚊灯家用驱蚊神器室内办公室婴儿孕妇低音电防蚊灯",153.0,10.0%,15.3,已售：140,结束：2023-11-30,1,3,品胜官方旗舰店,4.44,3.74,4.21,2023-04-18 20:24:09.830
"HP卡扣式塞头尼龙塑料堵头孔塞管塞封口塞子铰链孔胶塞装饰盖",2.0,20.0%,0.4,已售：772,结束：2023-12-31,,,吉祥连接器,4.64,4.37,4.74,2023-04-18 20:24:09.913
"自由物语 复古GBA掌机 怀旧迷你小GameBoy口袋妖怪经典掌上游戏机",149.0,6.0%,8.94,已售：95,结束：2023-04-30,,,自由物语,4.64,4.4,4.55,2023-04-18 20:24:10.007
"便携挎包手机稳定器数码收纳包户外休闲黑色简约斜挎单肩时尚运动",49.0,30.0%,14.7,已售：111,结束：2023-06-30,,,奥川旗舰店,4.89,4.97,4.94,2023-04-18 20:24:10.087
"【张醒醒】黑煤球苹果/华为/小米/OPPO/VIVO钢化玻璃手机壳保护套",19.9,15.0%,2.98,已售：14,结束：2024-04-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:24:10.175
"【苹果/华为/小米/OPPO/VIVO】毛线拼接小兔小羊皮手机壳保护套女",6.9,15.0%,1.04,已售：38,结束：2024-04-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:24:10.267
"AOYI/澳艺便携网红挂腰挂脖风扇强劲适合健身旅游钓鱼快递可充电",88.0,25.0%,22.0,已售：2,结束：2023-05-31,,,澳艺AOYI数码旗舰店,4.92,4.93,4.5,2023-04-18 20:24:10.357
" ins博主高级感水波纹原创风手机壳iPhone13/12/11/x/max/xs",36.9,20.0%,7.38,已售：668,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:24:10.438
"卡通肤感小猫咪头像iPhone13手机壳14promax苹果11可爱12女XR防摔",14.73,20.0%,2.95,已售：61,结束：2023-08-31,,,闪闪手机壳,4.89,4.54,4.27,2023-04-18 20:24:10.536
"DP久量特惠两条装快充数据线",6.99,10.0%,0.7,已售：135,结束：2023-10-31,,,久量数码配件旗舰店,4.96,4.78,4.41,2023-04-18 20:24:10.653
"迷你加湿器静音大雾量小型便携式车载USB插电桌面办公室喷雾香薰",9.9,25.0%,2.48,已售：560,结束：2023-11-30,,,尚派优选个体店,4.78,4.84,4.74,2023-04-18 20:24:10.744
"【澳门小源专享】百万补贴联想HE05X无线运动蓝牙耳机手机通用 ",29.9,15.0%,4.48,已售：8331,结束：2023-06-01,,,惠驰影音自营店,4.56,4.79,4.75,2023-04-18 20:24:10.854
"新概念英语单词默写本第一二三四册单词卡片练习本词汇课件讲义题",20.9,30.0%,6.27,已售：96,结束：2023-06-30,,,学硕文教,4.99,4.76,4.97,2023-04-18 20:24:10.954
"大风力无叶挂脖风扇超静音可调节懒人户外运动便携式夏天降温神器",22.9,27.0%,6.18,已售：7,结束：2023-05-31,,,挂脖风扇源头厂家,4.74,4.68,4.51,2023-04-18 20:24:11.047
"【工厂直营】USB风扇充电小型迷你宿舍夹式静音大风婴儿户外旋转",29.9,18.0%,5.38,已售：13,结束：2024-05-01,2,8,KESIJAR旗舰店,4.98,4.92,4.9,2023-04-18 20:24:11.147
"手机支架网红桌面场追剧iPad平板支架便携式户外通用型看电视",4.9,15.0%,0.74,已售：54,结束：2023-08-31,,,深圳市龙岗区腾慧达数码店,4.78,4.89,4.57,2023-04-18 20:24:11.240
"华太CR2032纽扣电池3V主板电子手表汽车遥控器通用型号钮扣钥匙",9.9,20.0%,1.98,已售：91,结束：2024-12-31,23,42,华太官方旗舰店,4.99,4.6,4.77,2023-04-18 20:24:11.339
"普乐威Prowell摄影包双肩背包佳能尼康相机包多功能专业单反包 ",289.0,15.0%,43.35,已售：16,结束：2024-03-26,1,,普乐威数码配件旗舰店,4.84,4.58,4.33,2023-04-18 20:24:11.443
"66W超级快充萌兔伸缩一拖三充电线适用华为苹果opp手机三合一通用",20.8,15.0%,3.12,已售：36,结束：2023-12-31,,,晓智亿数码旗舰店,4.9,4.7,4.61,2023-04-18 20:24:11.540
"【苹果/华为/小米/OPPO/VIVO】国潮醒狮钢化玻璃手机壳全包保护套",9.9,15.0%,1.48,已售：39,结束：2024-04-01,,,仪宝严选,4.86,4.97,4.05,2023-04-18 20:24:11.623
"手机支架 落地 360度旋转加重舒适功能拍照通用自拍神器",1.98,10.0%,0.2,已售：2.9万,结束：2023-05-31,,,佳Jia甄选,4.66,4.62,4.41,2023-04-18 20:24:11.709
"手机支架桌面支架多功能旋转懒人神器自拍可伸缩支架便携式拍照架",4.99,20.0%,1.0,已售：578,结束：2024-03-22,1,,街米智能设备旗舰店,4.63,4.63,4.35,2023-04-18 20:24:11.791
"蔡徐坤周边原创稀有手机壳/苹果14/vIvos7/华为p40/oppoR17/小米",11.9,20.0%,2.38,已售：111,结束：2023-06-30,5,19,爱豆手机壳严选店,4.99,4.97,4.5,2023-04-18 20:24:11.873
"桌面落地手机俯拍直播美颜拍摄视频懒人手机支架补光灯教学画美食",168.0,25.0%,42.0,已售：1,结束：2025-12-31,,,ZCJB旗舰店,4.97,4.91,4.72,2023-04-18 20:24:11.959
" ins小众条纹饺子包支架手机壳iPhone14/13/12/11/x/max/xs",17.9,20.0%,3.58,已售：205,结束：2024-02-29,,,壳比家,4.85,4.92,4.7,2023-04-18 20:24:12.041
"pzoz新款挂绳苹果airpods pro2蓝牙耳机手机保护套绳简洁运动潮",28.0,25.0%,7.0,已售：26,结束：2023-12-31,1,5,pzoz数码旗舰店,4.77,4.76,4.84,2023-04-18 20:24:12.126
"鲁乐 LULE【浪花专属】头戴式电竞游戏耳机蓝牙耳机无线带麦",169.0,25.0%,42.25,已售：3,结束：2023-06-30,1,,LULE旗舰店,4.52,4.55,4.51,2023-04-18 20:24:12.228
